date,intercept,EARNQLTY_weight,VALUE_weight,PROFIT_weight
1997-12-29,-0.00005436185476606389,3.302753449341278e-6,0.0000364808258296323,0.000010604793062113371
1997-12-30,-0.00005231608854044732,4.462244523079084e-6,0.000037476738276698285,7.937317348188921e-6
1997-12-31,-0.000054376204616912534,3.587626309697889e-6,0.00003741618219488263,0.000012550082666151763
1998-01-02,-0.00005344300134991438,2.9391723006533255e-6,0.000037055848324085705,0.000011331791799462643
1998-01-05,-0.00005129339461738351,4.366928022719874e-6,0.00003713061258353578,0.000011400318269211285
1998-01-06,-0.00005020833433522729,6.274704600905956e-6,0.00003531451108684802,8.80784545206903e-6
1998-01-07,-0.00004843897953709257,4.655991881541421e-6,0.00003212831393084592,9.372449814609718e-6
1998-01-08,-0.00005029147530213507,2.939105744503845e-6,0.00003075063418150892,6.66009927735578e-6
1998-01-09,-0.00004998164670365351,2.602474419521883e-6,0.00003165221007889185,6.866348991385607e-6
1998-01-12,-0.000050109341629348736,5.844450871039797e-7,0.00003208469394244684,3.13684311914475e-6
1998-01-13,-0.00005011731270003541,-2.2002328967651863e-6,0.00003025278452628566,3.615196119743924e-6
1998-01-14,-0.00004952619693010799,-1.130034662510937e-7,0.00003069528393434551,2.283052349782988e-6
1998-01-15,-0.000049546421355836374,-1.9322352101669438e-6,0.00003033428778592695,1.062402628843051e-6
1998-01-16,-0.000048562919675488746,-2.6822248588853626e-6,0.00002956362392991796,7.350049368859413e-7
1998-01-20,-0.00004842178297726749,-2.611560500853649e-6,0.000029593666219074333,-1.5070331343958188e-6
1998-01-21,-0.00004967403495411929,5.936424229968651e-7,0.00003155007122440656,-1.1325144733120851e-7
1998-01-22,-0.000049368353793290677,-6.291974111172216e-7,0.000028697520237652707,-7.106396182066099e-7
1998-01-23,-0.00005035510855173401,6.714920995631868e-7,0.000028050098874465856,-1.7987653933571046e-6
1998-01-26,-0.0000513673936490557,-4.879090639842154e-7,0.00002658838865660096,-1.0626565568605528e-6
1998-01-27,-0.000049148569417786934,1.6441783410869881e-6,0.00002630807316894579,-2.530331519756679e-6
1998-01-28,-0.000046724494627863694,4.0302429124838834e-6,0.00002527377842148626,-3.758853500235304e-6
1998-01-29,-0.000045978667427458305,6.618278732162253e-6,0.00002754615090300172,-3.946494420203894e-6
1998-01-30,-0.00005058563027167729,4.93533407444624e-6,0.00003030238421203313,-2.60689032294259e-6
1998-02-02,-0.00005427398943348408,3.6224255831052155e-6,0.00003185600796018484,-2.738273446878381e-6
1998-02-03,-0.000054495201564064585,2.9643452104655132e-6,0.000030234751543734006,-7.68087773994619e-7
1998-02-04,-0.00005480785001742722,2.914352605493109e-6,0.00003168855233059986,-1.4725940972737384e-6
1998-02-05,-0.00005599653121324827,1.4706996817603901e-6,0.000033532857539819716,1.0230293708834992e-6
1998-02-06,-0.00005355655502583156,2.1816378633354727e-6,0.00003309241525500939,-1.0250798632149838e-7
1998-02-09,-0.00004999303657100172,9.443401497999382e-7,0.00003090676424349903,-1.101564935990229e-6
1998-02-10,-0.00005035517711934938,-2.409507574019365e-7,0.000032796351636277254,-7.215948672478767e-7
1998-02-11,-0.00005030289475895371,1.8962923209742133e-6,0.00003419392244374819,-9.316702334061233e-7
1998-02-12,-0.000050910054185320014,3.3165059624695736e-6,0.00003361491423531371,-2.5639048529813024e-6
1998-02-13,-0.00004668519801330345,4.525877880384721e-6,0.00003252396921610279,-3.46832040831746e-6
1998-02-17,-0.00004533459741064753,7.319861002358374e-6,0.00002840483541349803,-3.4393426304735186e-6
1998-02-18,-0.0000468739247396787,6.752990750952259e-6,0.000027554526368767096,-3.094924822755196e-6
1998-02-19,-0.00004809449436028066,6.611341794277026e-6,0.000028599128553019604,-4.4665417445188815e-6
1998-02-20,-0.00004820126969073522,6.5543327052997036e-6,0.000028707924924264994,-4.798432392594254e-6
1998-02-23,-0.000048195006480841514,7.83494574510546e-6,0.00003033016540654465,-7.050518968099162e-6
1998-02-24,-0.0000476549089029207,9.580109322976371e-6,0.000029153907090906372,-9.399575471968902e-6
1998-02-25,-0.000049406136731248856,9.463117698477186e-6,0.00003295660094548847,-8.58822481264454e-6
1998-02-26,-0.00004988891201309885,0.000011564764035326691,0.000033943476367759295,-0.000010991316894692904
1998-02-27,-0.00004993911686304793,0.000013316775953925442,0.00003386710823177763,-0.00001051532381052267
1998-03-02,-0.00005010581935372169,0.000013975376553732044,0.00003725895049216943,-0.000010594184935708295
1998-03-03,-0.00004910584087748501,0.000015995451364575475,0.00003579275568960094,-0.000014055490599074183
1998-03-04,-0.000051726165764488655,0.000017543261141783617,0.00003422019926507813,-0.000014980496555405676
1998-03-05,-0.00005078311694646357,0.000017344462661328386,0.00003268034007103404,-0.00001503432184457587
1998-03-06,-0.00004980575108006527,0.000016187519857907562,0.00003300671263484212,-0.00001482323422330456
1998-03-09,-0.000050598349192891513,0.00001706492372702262,0.000034670550156157276,-9.781606483405536e-6
1998-03-10,-0.00005185865642027439,0.000018117275499357488,0.00003695754683546992,-7.627360475714884e-6
1998-03-11,-0.00005221841977967657,0.000018100825425138023,0.00003911926043559388,-6.513395213680884e-6
1998-03-12,-0.000053125351215467296,0.00001614127783655661,0.00003979878084431343,-5.013344641813244e-6
1998-03-13,-0.00005218711925060413,0.000015947878622468714,0.00003960360619698067,-8.254210531744022e-6
1998-03-16,-0.00004977317276218719,0.000014723824132978347,0.00003695546075188627,-4.83792708894093e-6
1998-03-17,-0.000050032590809827044,0.0000170208233514213,0.000037285967285971555,-4.691719890592694e-6
1998-03-18,-0.000049221695261291785,0.0000227250393646794,0.00003380078140091669,-8.081034527762654e-6
